quad,row,col,trap_energy,gmean_coeff,log_coeff_slope_per_K,n_points
0,39,131,0.30499389,0.55875998,-0.013562712,17
0,39,1937,0.30480486,1.0398438,0.017862943,5
0,39,2725,0.28503133,0.55389284,0.016333467,8
0,400,1079,0.34312861,0.84369256,-0.011225804,12
0,400,1247,0.31925611,0.45212887,-0.019187046,10
0,400,1453,0.2292424,0.78462377,0.0038121255,9
0,400,1566,0.2478118,0.95913663,-0.0055289185,6
0,400,2489,0.30390747,0.51756435,-0.0048845064,5
0,401,1093,0.23948193,1.0061921,0.026576118,4
0,401,2489,0.31224871,1.0221828,-0.008290847,5
0,401,2591,0.31700924,0.9959825,0.020347812,5
0,402,287,0.074681671,0.56250063,0.028609136,4
0,402,3015,0.29346645,0.5603801,-0.0078370926,8
0,402,606,0.33525796,0.96659108,-0.025711027,4
0,403,1506,0.2194603,0.5241819,0.021184177,6
0,403,2100,0.25396786,0.86645602,0.030839919,4
0,404,1404,0.26320919,0.91759727,0.0068546684,5
0,404,378,0.28783066,1.1870206,0.002830763,6
0,404,4,0.24567928,1.0400505,0.0029595763,4
0,406,2096,0.36547481,1.0299554,-0.026442038,4
0,407,1349,0.31712893,1.0954789,0.0025114373,5
0,408,1349,0.2350768,0.56937302,0.039392424,5
0,408,969,0.2373389,0.66889413,-0.0074481911,4
0,40,1937,0.25486355,0.61960881,0.024844525,4
0,411,227,0.30520365,0.99785114,-0.002357042,18
0,415,1546,0.31378852,0.91372066,-0.0023367368,8
0,416,1546,0.31676937,0.50223663,0.00489962,6
0,416,1995,0.308885,0.74871421,-0.0080433153,17
0,417,1013,0.26410064,0.51842223,0.0070473269,7
0,417,873,0.19136809,0.83218108,0.031996502,5
0,418,1702,0.30174509,1.0418198,-0.026143672,4
0,419,1489,0.2581366,0.89723652,-0.0035807981,8
0,419,1662,0.35584689,0.89312179,0.013943952,5
0,419,298,4.2848829e-15,0.37346552,-0.0093814868,4
0,41,2636,0.2705306,0.96550725,-0.0015670706,8
0,420,298,0.11021908,0.62549915,0.013491305,6
0,421,1343,0.27094607,0.62240006,-0.016297833,18
0,421,194,0.20292747,1.3811759,0.021943781,4
0,421,730,0.1510252,1.2588639,0.0026461626,5
0,421,767,0.21782714,0.94492175,4.3541149e-05,4
0,422,2268,0.19171732,1.2732657,0.020779214,5
0,423,1588,0.26319363,0.67748633,-0.01342926,16
0,423,1816,0.30163699,0.73687334,-0.0028345299,20
0,424,1765,0.3135074,1.0831818,0.012482089,5
0,425,1765,0.28719882,0.55575676,0.021915942,4
0,425,2814,0.16979621,0.84740594,0.036583039,4
0,427,235,0.24733501,0.77339508,-0.0037062843,8
0,428,235,0.19033641,0.49189102,0.012141873,6
0,429,2767,0.24320129,0.8604358,0.0056394341,7
0,430,655,0.25644868,0.76125164,0.0043445431,6
0,431,2030,0.11180082,0.95892234,0.046936022,6
0,432,1693,0.29309737,0.53339943,-0.0090278086,20
0,433,1221,0.30400603,1.0074861,-0.017779406,6
